min_rank	mid_rank	max_rank	binsize	wordsline
65411	65707	66003	591	нитчатый
66004	66302	66599	594	дихлорэтан
66600	66898	67197	597	двупалый
67198	67498	67798	599	крикунья
67799	68100	68402	602	выкачиваться
68403	68705	69008	605	привариваться
69009	69313	69617	607	неудачливость
69618	69923	70228	610	покрытосеменной
70229	70536	70842	613	гоститься
70843	71151	71459	615	полусогнуться
71460	71770	72079	618	ньюфаундлендский
72080	72390	72701	621	вкуснотища
72702	73014	73326	623	бандеролька
73327	73640	73953	626	сервироваться
73954	74269	74583	629	электрофизика
74584	74900	75216	631	дряхленький
75217	75534	75852	634	шелюга
75853	76171	76490	637	завторить
76491	76811	77131	639	натровый
77132	77453	77774	642	неудобопроходимый
77775	78098	78420	645	разгребание
78421	78745	79069	647	заветрие
79070	79395	79720	650	неуважительность
79721	80048	80374	653	отпиться
80375	80703	81031	655	бронировка
81032	81361	81690	658	повыдрать
81691	82022	82352	661	шнитт-лук
82353	82685	83017	663	грабиться
83018	83351	83684	666	госхоз
83685	84020	84354	668	присосать
84355	84691	85027	671	по-сельски
85028	85365	85702	674	незамужница
85703	86042	86380	676	откомандировывать
86381	86721	87061	679	обварной
87062	87403	87744	682	проблудить
87745	88088	88430	684	нахвостник
88431	88775	89119	687	дезориентирование
89120	89465	89810	690	обворожитель
89811	90157	90504	692	светловодный
90505	90853	91200	695	подрейфовать
91201	91550	91900	698	катерна
91901	92251	92601	700	колядование
92602	92954	93306	703	прямешенький
93307	93660	94013	706	русицизм
94014	94369	94723	708	вояжировка
94724	95080	95436	711	фонола
95437	95794	96151	714	машиновладелец
96152	96510	96868	716	настрекать
96869	97229	97589	719	сланцеватость
97590	97951	98312	722	фасный
98313	98675	99038	724	курочек
99039	99403	99766	727	выстирывать
99767	100132	100497	730	дошутить
100498	100865	101231	732	мохнатеть
101232	101600	101968	735	отколка
101969	102338	102707	738	поручница
102708	103078	103448	740	тапиока
103449	103821	104193	743	харчишки
104194	104567	104940	746	привядать
104941	105315	105689	748	дабовый
105690	106066	106442	751	доковать
106443	106820	107197	754	крутоверть
107198	107576	107954	756	ниспровергательница
107955	108335	108715	759	огрешиться
108716	109097	109478	761	перемащиваться
109479	109861	110243	764	пригораживаться
110244	110628	111012	767	раскомандировочная
111013	111398	111783	769	сожмуриваться
111784	112170	112556	772	фельетонность
112557	112945	113332	775	аутовакцина
113333	113722	114111	777	бувардия
114112	114503	114893	780	веслище
114894	115285	115677	783	гидрообогащение
115678	116071	116464	785	достегивать
116465	116859	117254	788	закоченевший
117255	117650	118046	791	защипаться
118047	118444	118841	793	когда угодно
118842	119240	119638	796	леновые
119639	120039	120438	799	марморироваться
120439	120840	121241	801	мускат-люнель
121242	121644	122047	804	не так чтоб
122048	122451	122855	807	неполноправие
122856	123261	123665	809	обсусоливаться
123666	124073	124479	812	пережалобиться
124480	124887	125295	815	перетыкаться
125296	125705	126114	817	плакатно
126115	126525	126935	820	подворное
126936	127348	127759	823	прихлебательский
127760	128173	128586	825	провинчивание
128587	129001	129415	828	располосовываться
129416	129832	130247	831	с поличным
130248	130665	131082	833	склеивальщик
131083	131501	131919	836	сухолюб
131920	132340	132760	839	трясогузочий
132761	133181	133602	841	цитокинез
133603	133875	134148	544	яйце-мясной
